slug,name,ascii_name,province,province_name,latitude,longitude,population,feature_class,feature_code
happy-valley-goose-bay-nl,Happy Valley-Goose Bay,Happy Valley-Goose Bay,NL,Newfoundland and Labrador,53.3038,-60.32576,7572,P,PPL
chibougamau-qc,Chibougamau,Chibougamau,QC,Quebec,49.91684,-74.36586,7563,P,PPL
revelstoke-bc,Revelstoke,Revelstoke,BC,British Columbia,50.99712,-118.1953,7547,P,PPL
shediac-nb,Shediac,Shediac,NB,New Brunswick,46.21981,-64.54107,7535,P,PPL
listowel-on,Listowel,Listowel,ON,Ontario,43.7334,-80.94973,7530,P,PPL
pont-rouge-qc-2,Pont Rouge,Pont Rouge,QC,Quebec,48.88332,-72.08247,7518,P,PPL
burnside-ns,Burnside,Burnside,NS,Nova Scotia,44.70175,-63.60051,7506,P,PPL
camlachie-on,Camlachie,Camlachie,ON,Ontario,43.03596,-82.1616,7506,P,PPL
aylmer-on,Aylmer,Aylmer,ON,Ontario,42.76679,-80.98302,7492,P,PPL
sunbury-york-south-nb,Sunbury-York South,Sunbury-York South,NB,New Brunswick,45.83776,-66.60984,7455,P,PPL
napanee-on,Napanee,Napanee,ON,Ontario,44.25012,-76.94944,7439,P,PPL
iqaluit-nu,Iqaluit,Iqaluit,NU,Nunavut,63.74697,-68.51727,7429,P,PPLA
carignan-qc,Carignan,Carignan,QC,Quebec,45.45008,-73.29916,7426,P,PPL
kimberley-bc,Kimberley,Kimberley,BC,British Columbia,49.67071,-115.9776,7425,P,PPL
st-marys-on,St. Marys,St. Marys,ON,Ontario,43.25009,-81.13304,7386,P,PPL
beaumont-ab,Beaumont,Beaumont,AB,Alberta,53.35013,-113.41871,7366,P,PPL
eastern-charlotte-nb,Eastern Charlotte,Eastern Charlotte,NB,New Brunswick,45.10301,-66.79484,7325,P,PPL
delson-qc,Delson,Delson,QC,Quebec,45.36678,-73.54917,7322,P,PPL
grand-centre-ab,Grand Centre,Grand Centre,AB,Alberta,54.41628,-110.21304,7256,P,PPL
labrador-city-nl,Labrador City,Labrador City,NL,Newfoundland and Labrador,52.94626,-66.91137,7220,P,PPL
donnacona-qc,Donnacona,Donnacona,QC,Quebec,46.68042,-71.7239,7200,P,PPL
mill-bay-bc,Mill Bay,Mill Bay,BC,British Columbia,48.65,-123.55,7200,P,PPL
united-townships-of-dysart-dudley-harcourt-guilford-harburn-bruton-havelock-eyre-and-clyde-on,"United Townships of Dysart, Dudley, Harcourt, Guilford, Harburn, Bruton, Havelock, Eyre and Clyde","United Townships of Dysart, Dudley, Harcourt, Guilford, Harburn, Bruton, Havelock, Eyre and Clyde",ON,Ontario,45.2,-78.41667,7182,P,PPLS
baie-saint-paul-qc,Baie-Saint-Paul,Baie-Saint-Paul,QC,Quebec,47.44109,-70.49858,7146,P,PPL
merritt-bc,Merritt,Merritt,BC,British Columbia,50.11225,-120.7942,7139,P,PPL
pointe-du-lac-qc,Pointe-du-Lac,Pointe-du-Lac,QC,Quebec,48.50009,-71.78241,7104,P,PPL
val-des-sources-qc,Val-des-Sources,Val-des-Sources,QC,Quebec,45.76678,-71.9324,7088,P,PPL
bluewater-on,Bluewater,Bluewater,ON,Ontario,43.46679,-81.59977,7044,P,PPL
coteau-du-lac-qc,Coteau-du-Lac,Coteau-du-Lac,QC,Quebec,45.30008,-74.18253,7044,P,PPL
coaticook-qc,Coaticook,Coaticook,QC,Quebec,45.13339,-71.79907,7021,P,PPL
hampstead-qc,Hampstead,Hampstead,QC,Quebec,45.48075,-73.6467,6996,P,PPL
king-on,King,King,ON,Ontario,43.96514,-79.59011,6970,P,PPL
port-wallace-ns,Port Wallace,Port Wallace,NS,Nova Scotia,44.69882,-63.54767,6963,P,PPL
sturgeon-falls-on,Sturgeon Falls,Sturgeon Falls,ON,Ontario,46.36679,-79.91636,6939,P,PPL
central-york-nb,Central York,Central York,NB,New Brunswick,46.0051,-66.90803,6930,P,PPL
saint-remi-qc,Saint-Rémi,Saint-Remi,QC,Quebec,45.26678,-73.61588,6891,P,PPLA3
campbellton-nb,Campbellton,Campbellton,NB,New Brunswick,48.00751,-66.67272,6883,P,PPL
peace-river-ab,Peace River,Peace River,AB,Alberta,56.23715,-117.29176,6842,P,PPL
slave-lake-ab,Slave Lake,Slave Lake,AB,Alberta,55.28344,-114.76896,6836,P,PPL
yarmouth-ns,Yarmouth,Yarmouth,NS,Nova Scotia,43.83345,-66.11557,6829,P,PPL
gibsons-bc,Gibsons,Gibsons,BC,British Columbia,49.39539,-123.50555,6821,P,PPL
saint-zotique-qc,Saint-Zotique,Saint-Zotique,QC,Quebec,45.25009,-74.24924,6773,P,PPL
saint-anselme-nb,Saint-Anselme,Saint-Anselme,NB,New Brunswick,46.06395,-64.71261,6740,P,PPL
kincardine-on,Kincardine,Kincardine,ON,Ontario,44.18339,-81.63307,6725,P,PPLA3
new-waterford-ns,New Waterford,New Waterford,NS,Nova Scotia,46.25014,-60.08175,6723,P,PPL
beaubassin-east-nb,Beaubassin East,Beaubassin East,NB,New Brunswick,46.20917,-64.418,6718,P,PPL
clarenville-nl,Clarenville,Clarenville,NL,Newfoundland and Labrador,48.1666,-53.96482,6704,P,PPL
hope-bc,Hope,Hope,BC,British Columbia,49.38299,-121.44144,6686,P,PPL
west-st-paul-mb,West St. Paul,West St. Paul,MB,Manitoba,50.01043,-97.14213,6682,P,PPL
plessisville-qc,Plessisville,Plessisville,QC,Quebec,46.21856,-71.76201,6677,P,PPL
brownsburg-chatham-qc,Brownsburg-Chatham,Brownsburg-Chatham,QC,Quebec,45.68342,-74.4159,6664,P,PPL
ponoka-ab,Ponoka,Ponoka,AB,Alberta,52.6768,-113.58147,6656,P,PPL
enfield-ns,Enfield,Enfield,NS,Nova Scotia,44.9434,-63.53613,6583,P,PPL
cornwall-pe,Cornwall,Cornwall,PE,Prince Edward Island,46.22652,-63.21809,6574,P,PPL
mont-joli-qc,Mont-Joli,Mont-Joli,QC,Quebec,48.58388,-68.19214,6568,P,PPL
devon-ab,Devon,Devon,AB,Alberta,53.36683,-113.73533,6545,P,PPL
nanoose-bay-bc,Nanoose Bay,Nanoose Bay,BC,British Columbia,49.27237,-124.19332,6540,P,PPL
stephenville-nl,Stephenville,Stephenville,NL,Newfoundland and Labrador,48.55001,-58.5818,6540,P,PPL
millidgeville-nb,Millidgeville,Millidgeville,NB,New Brunswick,45.3017,-66.10319,6527,P,PPL
rocky-mountain-house-ab,Rocky Mountain House,Rocky Mountain House,AB,Alberta,52.36683,-114.9188,6527,P,PPL
port-cartier-qc,Port-Cartier,Port-Cartier,QC,Quebec,50.03339,-66.86545,6516,P,PPL
pointe-calumet-qc,Pointe-Calumet,Pointe-Calumet,QC,Quebec,45.50008,-73.9659,6396,P,PPL
saint-honore-qc,Saint-Honoré,Saint-Honore,QC,Quebec,48.53338,-71.08236,6376,P,PPL
beauceville-qc,Beauceville,Beauceville,QC,Quebec,46.21785,-70.77873,6354,P,PPL
parry-sound-on,Parry Sound,Parry Sound,ON,Ontario,45.34732,-80.03527,6321,P,PPL
agassiz-bc,Agassiz,Agassiz,BC,British Columbia,49.23298,-121.76926,6300,P,PPL
wainwright-ab,Wainwright,Wainwright,AB,Alberta,52.83482,-110.85342,6270,P,PPL
amqui-qc,Amqui,Amqui,QC,Quebec,48.46382,-67.43134,6261,P,PPL
hammonds-plains-ns,Hammonds Plains,Hammonds Plains,NS,Nova Scotia,44.73386,-63.77551,6242,P,PPL
saint-joseph-du-lac-qc,Saint-Joseph-du-Lac,Saint-Joseph-du-Lac,QC,Quebec,45.53338,-73.9992,6195,P,PPL
beaurivage-nb,Beaurivage,Beaurivage,NB,New Brunswick,46.68206,-64.96023,6160,P,PPL
hautes-terres-nb,Hautes-Terres,Hautes-Terres,NB,New Brunswick,47.62877,-65.09284,6140,P,PPL
russell-on,Russell,Russell,ON,Ontario,45.2501,-75.36602,6135,P,PPL
fundy-albert-nb,Fundy Albert,Fundy Albert,NB,New Brunswick,45.80271,-64.65977,6100,P,PPL
drayton-valley-ab,Drayton Valley,Drayton Valley,AB,Alberta,53.21682,-114.98544,6099,P,PPL
